time,chanel1,chanel2,chanel3,chanel4,chanel5,chanel6,chanel7,chanel8,position
19.714004516601562,38,83,73,104,98,63,44,37,1
19.737391710281372,42,78,69,107,97,63,43,41,1
19.751463651657104,44,71,60,97,87,61,43,40,1
19.774107933044434,45,68,58,95,85,60,43,43,1
19.796913385391235,46,67,55,90,83,58,44,42,1
19.81168031692505,43,55,52,78,71,51,46,39,1
19.834142684936523,44,47,48,72,65,43,43,36,1
19.856460094451904,45,49,52,75,67,44,42,36,1
19.871503591537476,47,50,54,78,68,45,43,31,1
19.894026041030884,45,49,57,81,70,45,44,31,1
19.916717290878296,42,39,47,82,56,38,39,29,1
19.931440591812134,47,48,50,91,71,54,49,34,1
19.95430612564087,46,47,47,89,70,52,46,36,1
19.976775407791138,42,46,46,89,72,52,46,40,1
19.99151611328125,43,53,52,95,80,61,55,42,1
20.014271020889282,44,52,53,91,79,62,53,42,1
20.03652787208557,37,44,46,80,62,52,46,36,1
20.051486492156982,35,48,46,86,65,55,46,33,1
20.07396173477173,35,53,49,98,67,55,48,32,1
20.096994876861572,33,47,41,89,56,45,36,27,1
20.11146378517151,30,50,43,78,58,43,40,29,1
20.134034633636475,28,50,47,75,59,42,45,31,1
20.456562280654907,43,53,41,79,59,41,43,30,1
20.479822874069214,46,60,46,79,62,47,43,29,1
20.494171142578125,46,59,51,90,64,49,42,30,1
20.517128944396973,46,63,55,99,80,53,40,33,1
20.53988814353943,43,63,56,95,82,55,40,32,1
20.553682565689087,40,61,56,94,78,52,38,29,1
20.57660174369812,37,55,52,92,78,51,38,29,1
20.599868059158325,36,56,50,81,77,50,37,28,1
20.614060163497925,34,45,42,60,59,45,33,27,1
20.636625289916992,32,40,37,54,55,43,35,30,1
20.659866094589233,30,45,43,62,62,47,42,33,1
20.674701690673828,36,44,42,86,55,45,41,33,1
20.69660234451294,37,43,41,100,52,49,41,36,1
20.720119953155518,38,43,44,103,66,53,47,35,1
20.734597206115723,38,43,45,105,68,53,44,33,1
20.75655198097229,41,43,49,109,71,56,51,33,1
20.779703378677368,34,42,50,104,76,57,56,36,1
20.79411506652832,35,48,50,88,78,56,57,33,1
20.816529750823975,34,51,49,90,64,48,53,32,1
20.83960247039795,37,54,51,94,64,47,57,35,1
20.85428237915039,35,51,42,87,57,41,45,35,1
20.876660108566284,36,51,41,66,53,39,40,33,1
20.9003586769104,35,44,39,65,51,33,38,35,1
20.91372776031494,35,38,37,57,49,33,40,38,1
20.9366717338562,33,38,38,69,49,35,38,38,1
20.959356546401978,33,48,53,86,68,50,50,38,1
20.97550892829895,35,50,52,87,69,50,50,39,1
20.996551275253296,36,49,53,92,67,52,50,40,1
21.581735610961914,36,54,53,82,66,46,51,30,1
21.605134963989258,35,51,52,80,62,47,48,34,1
21.619837999343872,34,43,40,66,49,38,36,33,1
21.642333984375,33,42,42,73,53,39,38,33,1
21.65659475326538,33,39,42,77,50,36,39,32,1
21.67963933944702,31,36,43,80,48,38,39,29,1
21.701855897903442,31,38,45,84,50,38,39,28,1
21.716285943984985,35,37,45,85,50,39,37,29,1
21.739915370941162,34,40,44,81,50,41,38,32,1
21.761863470077515,34,41,40,71,50,40,35,34,1
21.776538610458374,36,36,34,62,51,37,32,34,1
21.80111527442932,37,36,33,67,55,38,37,34,1
21.82272434234619,35,38,30,65,55,36,36,33,1
21.83696150779724,35,34,31,60,52,31,34,31,1
21.859692811965942,36,31,34,64,49,34,34,30,1
21.88239336013794,35,30,34,65,49,36,37,29,1
21.896897077560425,35,31,35,61,47,40,36,32,1
21.919819831848145,29,36,38,68,54,44,38,33,1
21.9423565864563,32,41,36,68,55,44,37,32,1
21.95748519897461,33,43,37,66,58,42,40,34,1
21.98011350631714,32,46,36,60,53,38,36,36,1
22.002301454544067,31,42,30,52,47,32,30,33,1
22.01659917831421,33,39,33,61,44,30,33,33,1
22.039926767349243,31,32,35,62,42,31,34,34,1
22.063372135162354,26,32,32,60,37,34,34,32,1
22.076884746551514,31,28,33,62,39,34,34,30,1
22.09992551803589,31,32,35,65,42,37,38,32,1
22.123348712921143,30,28,31,59,38,34,35,32,1
22.136711359024048,34,28,29,58,37,32,37,32,1
22.159151554107666,36,30,30,57,38,30,39,34,1
22.182308197021484,34,31,32,57,36,31,40,34,1
22.196691274642944,38,29,31,55,35,27,38,33,1
22.219354391098022,39,31,33,58,35,29,38,33,1
22.24232530593872,41,32,36,63,43,33,40,38,1
22.257099628448486,43,30,35,62,42,32,37,45,1
22.279138803482056,42,32,34,65,47,32,37,43,1
22.302443265914917,40,32,35,81,47,33,37,43,1
22.32497501373291,41,34,33,72,46,30,36,45,1
22.339258909225464,64,50,40,67,43,31,32,42,1
22.36268424987793,68,58,48,77,54,37,43,35,1
22.384447813034058,75,57,50,75,51,37,46,40,1
22.3986759185791,82,59,50,61,51,39,54,46,1
22.42226243019104,84,62,53,72,58,43,64,49,1
22.445002794265747,72,56,47,86,58,42,73,52,1
22.45910358428955,72,52,40,79,49,39,75,54,1
22.4834988117218,66,62,43,80,49,39,77,59,1
22.505094289779663,74,64,44,77,52,38,76,62,1
22.51940941810608,75,64,42,71,46,34,80,62,1
