time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,position
17.942611932754517,-5,-6,-7,-15,-14,-5,-8,-3,1
17.942617893218994,-2,0,1,6,7,0,7,3,1
17.95063328742981,0,0,3,3,1,-3,-1,4,1
17.950637578964233,-2,-3,-4,-7,-5,-2,9,-3,1
17.964938640594482,10,7,6,8,4,0,-12,8,1
17.964943170547485,-11,-5,-8,-13,-11,-4,-14,-19,1
17.97252607345581,0,2,2,1,3,4,10,2,1
17.97252869606018,-6,-5,-6,-9,-6,-4,-5,-7,1
17.98012089729309,-2,-2,1,4,3,4,6,1,1
17.980127096176147,2,3,1,3,2,0,3,3,1
17.995927810668945,-4,-5,-5,-8,-5,-3,-5,-2,1
17.995936155319214,-2,-3,-3,-3,-4,-1,-4,-8,1
18.00263738632202,0,3,0,2,3,-1,5,2,1
18.002641677856445,2,-1,0,-3,-1,0,6,0,1
18.010387659072876,1,3,2,7,7,3,3,-3,1
18.010393857955933,-3,-7,-8,-11,-13,-5,-4,-5,1
18.025018215179443,-6,-2,-2,-6,-2,-1,-2,-7,1
18.02502465248108,0,0,4,9,11,7,6,7,1
18.03320813179016,-3,-3,-5,-4,-5,-4,-14,-12,1
18.033213138580322,4,3,5,5,6,-1,11,3,1
18.0400173664093,10,6,4,7,6,-2,2,6,1
18.0400230884552,-2,-5,-7,-11,-12,-3,-8,-4,1
18.055443048477173,-1,-3,-1,-3,-3,1,-2,2,1
18.05544662475586,2,3,4,5,6,4,6,6,1
18.07026481628418,-2,-5,-4,-4,-5,-2,1,-3,1
18.07026958465576,4,6,7,13,13,4,6,4,1
18.070902585983276,-6,-6,-9,-14,-12,-5,-4,-2,1
18.070904970169067,-3,0,0,3,2,2,-4,0,1
18.084380626678467,2,-1,-2,-6,-6,-2,-9,1,1
18.084383726119995,-2,0,0,0,1,1,-1,-2,1
18.093376636505127,1,1,2,6,4,1,5,0,1
18.093383312225342,6,3,-1,2,2,-3,-7,6,1
18.100180864334106,-3,-1,-1,-1,0,0,8,3,1
18.10018801689148,-7,-7,-3,-3,-5,-2,-2,-13,1
18.11521863937378,-1,-3,0,-4,-3,-5,-9,-1,1
18.115221977233887,0,2,2,5,6,8,15,4,1
18.122003078460693,4,0,-1,-2,-6,-8,-20,-6,1
18.12200617790222,-4,-3,-2,1,-2,-3,4,4,1
18.129396200180054,3,2,3,9,10,5,8,2,1
18.129398584365845,-2,-4,-5,-9,-11,-8,-14,-7,1
18.14498496055603,0,3,-1,2,3,1,7,-1,1
18.14499306678772,-5,-7,-4,-11,-12,-3,-11,-3,1
18.15334415435791,3,4,4,5,5,0,4,5,1
18.15334939956665,-5,-4,-2,-5,-4,1,-1,-4,1
18.159972190856934,0,-3,-1,-1,-1,3,8,1,1
18.159977436065674,2,3,2,4,4,1,0,2,1
18.175716400146484,3,0,0,1,1,3,6,6,1
18.175721883773804,1,4,1,2,0,-4,-7,-7,1
18.18253207206726,-1,0,2,8,7,6,7,1,1
18.18253779411316,-2,2,-3,1,0,-2,-1,-5,1
18.189999103546143,-5,-9,-4,-7,-9,-6,-2,-1,1
18.190003871917725,2,3,0,-1,-1,-5,-17,-1,1
18.205044269561768,-7,-4,0,0,1,0,-4,-15,1
18.20505142211914,2,2,0,0,-1,-3,-2,2,1
18.214537382125854,-3,0,0,2,-1,1,5,0,1
18.21454429626465,0,-2,-1,-1,0,1,5,-2,1
18.22055435180664,-1,-2,-2,-6,-5,1,3,3,1
